,Mkt-RF,SMB,HML,RF,Year,Month,Day,Date
19260701,0.1,-0.25,-0.27,0.009,1926,07,01,1926-07-01
19260702,0.45,-0.33,-0.06,0.009,1926,07,02,1926-07-02
19260706,0.17,0.3,-0.39,0.009,1926,07,06,1926-07-06
19260707,0.09,-0.58,0.02,0.009,1926,07,07,1926-07-07
19260708,0.21,-0.38,0.19,0.009,1926,07,08,1926-07-08
19260709,-0.71,0.43,0.57,0.009,1926,07,09,1926-07-09
19260710,0.62,-0.53,-0.1,0.009,1926,07,10,1926-07-10
19260712,0.04,-0.03,0.64,0.009,1926,07,12,1926-07-12
19260713,0.48,-0.28,-0.2,0.009,1926,07,13,1926-07-13
19260714,0.04,0.07,-0.43,0.009,1926,07,14,1926-07-14
19260715,-0.43,0.49,-0.22,0.009,1926,07,15,1926-07-15
19260716,0.53,-0.07,-0.44,0.009,1926,07,16,1926-07-16
19260717,0.34,0.43,-0.62,0.009,1926,07,17,1926-07-17
19260719,-0.01,-0.04,-0.42,0.009,1926,07,19,1926-07-19
19260720,-0.57,-0.25,0.19,0.009,1926,07,20,1926-07-20
19260721,-0.6,0.18,0.36,0.009,1926,07,21,1926-07-21
19260722,-0.73,-0.27,-0.23,0.009,1926,07,22,1926-07-22
19260723,-0.02,0.09,0.04,0.009,1926,07,23,1926-07-23
19260724,-0.14,0.44,-0.05,0.009,1926,07,24,1926-07-24
19260726,0.53,-0.39,-0.22,0.009,1926,07,26,1926-07-26
19260727,0.43,-0.41,0.2,0.009,1926,07,27,1926-07-27
19260728,1.09,0.02,-0.25,0.009,1926,07,28,1926-07-28
19260729,0.36,-0.6,-1.04,0.009,1926,07,29,1926-07-29
19260730,0.14,-0.46,0.53,0.009,1926,07,30,1926-07-30
19260731,0.46,-0.12,-0.17,0.009,1926,07,31,1926-07-31
19260802,0.84,-0.26,0.03,0.01,1926,08,02,1926-08-02
19260803,0.47,-0.25,-0.63,0.01,1926,08,03,1926-08-03
